TableID,TableName,Name,DataType,Size,Nullable,Description,IsInCSV,Scrambled
9001000,Area,AreaId,integer,32,False,The unique ID of the area,True,False
9001000,Area,CountryCode,string,10,False,The country code of the area,True,False
9001000,Area,Name,string,50,False,The display name of the area,True,False
9001000,Area,Competitions,Competition[],,True,The competitions that are associated with and/or played in the area,True,False
9002000,Competition,CompetitionId,integer,32,False,The unique ID of the competition/league,True,False
9002000,Competition,AreaId,integer,32,False,The unique ID of the area where this competition/league is played,True,False
9002000,Competition,AreaName,string,50,True,The display name of the area where this competition/league is played,True,False
9002000,Competition,Name,string,50,False,The display name of the competition/league,True,False
9002000,Competition,Gender,string,10,True,Indicates the gender of the players on this team (possible values: Male; Female),True,False
9002000,Competition,Type,string,10,True,The type of this competition/league (possible values: Club; International),True,False
9002000,Competition,Format,string,50,True,The format of the competition/league (possible values: Domestic League; International Cup),True,False
9002000,Competition,Seasons,Season[],,True,The seasons associated with this competition/league,True,False
9002000,Competition,Key,string,5,True,The unique string key of the competition/league,True,False
9003000,Season,SeasonId,integer,32,False,The unique ID of the season,True,False
9003000,Season,CompetitionId,integer,32,False,The unique ID of the competition,True,False
9003000,Season,Season,integer,32,False,The soccer regular season for which these totals apply,True,False
9003000,Season,Name,string,50,False,The display name of the season (example: 2017/2018; 2018-19; etc),True,False
9003000,Season,CompetitionName,string,50,False,The display name of the competition associated with this season,True,False
9003000,Season,StartDate,date,,True,The start date of the season (UTC),True,False
9003000,Season,EndDate,date,,True,The end date of the season (UTC),True,False
9003000,Season,CurrentSeason,boolean,,False,Indicates whether or not this season is the current season of the competition,True,False
9003000,Season,Rounds,Round[],,True,The rounds associated with this season,True,False
9004000,Round,RoundId,integer,32,False,The unique ID of the round,True,False
9004000,Round,SeasonId,integer,32,False,The unique ID of the season this round is associated with,True,False
9004000,Round,Season,integer,32,False,The soccer season for which these totals apply,True,False
9004000,Round,SeasonType,integer,32,False,The type of season that this record corresponds to (1=Regular Season; 2=Preseason; 3=Postseason; 4=Offseason; 5=AllStar).,True,False
9004000,Round,Name,string,50,False,The display name of the round (examples: Regular Season; Semi-finals; Final; etc),True,False
